Station,Visit,SurveyID,Year,Date,Time,BHC20_100,ATTW,BBWO,DOWO,HAWO,NOFL,PIWO,YBSA
WP18-011,2,WP18-011-2,2018,2018-06-28,7:18:00,RMF,1,0,0,0,0,0,0
WP18-012,1,WP18-012-1,2018,2018-06-09,4:51:00,RMF,0,0,0,0,0,1,0
WP18-012,2,WP18-012-2,2018,2018-06-28,5:36:00,RMF,0,0,0,0,0,3,0
WP18-013,1,WP18-013-1,2018,2018-06-09,5:27:00,RMF,0,0,0,0,0,0,0
WP18-013,2,WP18-013-2,2018,2018-06-28,7:39:00,RMF,0,0,0,0,0,0,1
WP18-014,1,WP18-014-1,2018,2018-06-10,4:48:00,WRI,0,0,0,1,0,0,1
WP18-014,2,WP18-014-2,2018,2018-06-22,9:20:00,WRI,0,0,0,0,0,0,0
WP18-015,1,WP18-015-1,2018,2018-06-09,6:03:00,DYF,0,0,0,0,0,0,2
WP18-015,2,WP18-015-2,2018,2018-06-28,7:05:00,DYF,0,0,0,1,0,0,1
WP18-016,1,WP18-016-1,2018,2018-06-10,5:00:00,RSH,0,0,0,0,0,0,2
WP18-016,2,WP18-016-2,2018,2018-06-28,6:36:00,RSH,0,0,0,0,0,0,1
WP18-017,1,WP18-017-1,2018,2018-06-10,5:31:00,DYF,1,0,2,0,1,0,2
WP18-017,2,WP18-017-2,2018,2018-06-28,5:54:00,DYF,0,0,0,0,0,0,0
WP18-018,1,WP18-018-1,2018,2018-06-05,7:05:00,RSH,0,0,0,0,0,0,0
WP18-018,2,WP18-018-2,2018,2018-06-22,8:46:00,RSH,0,0,0,0,2,0,0
WP18-019,1,WP18-019-1,2018,2018-06-05,7:09:00,DYF,0,0,0,0,0,0,0
WP18-019,2,WP18-019-2,2018,2018-06-28,5:26:00,DYF,0,0,0,0,0,0,0
WP18-020,1,WP18-020-1,2018,2018-06-05,8:00:00,DMF,0,0,0,1,0,0,0
WP18-020,2,WP18-020-2,2018,2018-06-23,4:24:00,DMF,0,0,0,0,0,0,1
WP18-020,3,WP18-020-3,2018,2018-06-28,8:26:00,DMF,0,0,0,2,0,0,1
WP18-021,1,WP18-021-1,2018,2018-06-09,6:05:00,DYF,0,0,0,0,0,0,1
WP18-021,2,WP18-021-2,2018,2018-06-22,5:06:00,DYF,0,0,0,0,0,0,2
WP18-022,1,WP18-022-1,2018,2018-06-09,5:34:00,RYF,1,0,0,0,0,0,0
WP18-022,2,WP18-022-2,2018,2018-06-22,5:38:00,RYF,0,0,0,0,0,0,1
WP18-023,1,WP18-023-1,2018,2018-06-09,4:37:00,RSH,0,0,0,0,0,0,1
WP18-023,2,WP18-023-2,2018,2018-06-22,6:26:00,RSH,0,0,0,1,0,0,1
WP18-024,1,WP18-024-1,2018,2018-06-09,5:06:00,RMF,1,0,0,0,0,0,1
WP18-024,2,WP18-024-2,2018,2018-06-22,6:02:00,RMF,0,0,0,1,0,0,1
WP18-025,1,WP18-025-1,2018,2018-06-05,8:32:00,DMF,0,0,1,1,0,0,0
WP18-025,2,WP18-025-2,2018,2018-06-23,5:09:00,DMF,0,0,0,0,0,0,1
WP18-025,3,WP18-025-3,2018,2018-06-28,8:27:00,DMF,0,0,0,0,0,2,0
WP18-026,1,WP18-026-1,2018,2018-06-05,7:38:00,WRI,0,0,0,0,0,0,1
WP18-026,2,WP18-026-2,2018,2018-06-22,8:17:00,WRI,0,0,0,0,1,1,0
WP18-027,1,WP18-027-1,2018,2018-06-05,8:00:00,RSH,0,0,0,0,1,0,0
WP18-027,2,WP18-027-2,2018,2018-06-22,7:57:00,RSH,0,0,0,0,0,0,0
WP18-028,1,WP18-028-1,2018,2018-06-05,9:18:00,DMF,0,0,0,1,1,0,1
WP18-028,2,WP18-028-2,2018,2018-06-18,6:47:00,DMF,0,0,0,0,0,0,1
WP18-029,1,WP18-029-1,2018,2018-06-05,8:40:00,RMF,0,0,0,0,0,0,0
WP18-029,2,WP18-029-2,2018,2018-06-22,7:27:00,RMF,0,0,0,0,0,0,1
WP18-030,1,WP18-030-1,2018,2018-06-05,9:43:00,RSH,0,0,0,0,0,0,0
WP18-030,2,WP18-030-2,2018,2018-06-18,7:23:00,RSH,1,0,0,0,0,0,1
WP18-031,1,WP18-031-1,2018,2018-06-05,9:25:00,CMF,0,0,0,0,0,0,0
WP18-031,2,WP18-031-2,2018,2018-06-23,9:07:00,CMF,2,0,0,0,0,0,0
WP18-031,3,WP18-031-3,2018,2018-06-28,9:52:00,CMF,0,0,0,0,1,0,0
WP18-032,1,WP18-032-1,2018,2018-06-05,10:07:00,RSH,0,0,0,0,0,0,0
WP18-032,2,WP18-032-2,2018,2018-06-18,7:52:00,RSH,0,0,0,0,0,0,0
WP18-033,1,WP18-033-1,2018,2018-06-05,9:58:00,CMF,0,0,0,0,0,0,1
WP18-033,2,WP18-033-2,2018,2018-06-23,7:40:00,CMF,0,0,0,0,0,0,0
WP18-033,3,WP18-033-3,2018,2018-06-28,9:08:00,CMF,2,0,0,0,0,0,1
WP18-034,1,WP18-034-1,2018,2018-06-07,6:04:00,CMF,0,0,0,0,0,0,0
WP18-034,2,WP18-034-2,2018,2018-06-28,9:37:00,CMF,1,0,0,0,0,0,0
WP18-035,1,WP18-035-1,2018,2018-06-07,6:45:00,CMF,0,0,0,0,1,0,1
WP18-035,2,WP18-035-2,2018,2018-06-28,9:08:00,CMF,1,0,0,0,0,0,0
WP18-036,1,WP18-036-1,2018,2018-06-10,6:32:00,DMF,0,0,0,0,1,0,0
WP18-036,2,WP18-036-2,2018,2018-06-29,5:11:00,DMF,0,0,0,0,0,0,0
WP18-037,1,WP18-037-1,2018,2018-06-07,4:51:00,CMF,0,0,0,1,1,0,1
WP18-037,2,WP18-037-2,2018,2018-06-29,5:08:00,CMF,1,0,0,1,0,0,1
WP18-038,1,WP18-038-1,2018,2018-06-10,8:14:00,DMF,0,0,0,1,0,0,0
WP18-038,2,WP18-038-2,2018,2018-06-29,5:54:00,DMF,0,0,0,1,0,0,0
WP18-039,1,WP18-039-1,2018,2018-06-10,7:27:00,DMF,2,1,0,0,0,0,0
WP18-039,2,WP18-039-2,2018,2018-06-29,5:53:00,DMF,1,0,0,0,0,0,0
WP18-040,1,WP18-040-1,2018,2018-06-07,7:52:00,CMF,1,0,0,0,1,0,0
WP18-040,2,WP18-040-2,2018,2018-06-29,5:21:00,CMF,1,0,0,1,1,0,0
WP18-041,1,WP18-041-1,2018,2018-06-07,8:37:00,CMF,0,0,0,2,0,0,0
WP18-041,2,WP18-041-2,2018,2018-06-07,6:12:00,CMF,0,0,0,0,0,0,0
WP18-042,1,WP18-042-1,2018,2018-06-07,9:33:00,RMF,0,0,0,1,0,0,0
WP18-042,2,WP18-042-2,2018,2018-06-29,6:26:00,RMF,0,0,0,0,0,0,0
WP18-043,1,WP18-043-1,2018,2018-06-06,4:30:00,RYF,0,0,0,0,0,0,0
WP18-043,2,WP18-043-2,2018,2018-06-20,8:16:00,RYF,0,0,0,0,0,0,0
WP18-044,1,WP18-044-1,2018,2018-06-06,4:55:00,RYF,0,0,0,0,0,0,0
WP18-044,2,WP18-044-2,2018,2018-06-20,7:46:00,RYF,0,0,0,0,0,0,2
WP18-045,1,WP18-045-1,2018,2018-06-06,5:30:00,RYF,0,0,1,0,0,0,0
WP18-045,2,WP18-045-2,2018,2018-06-20,7:19:00,RYF,0,0,0,0,0,0,1
WP18-046,1,WP18-046-1,2018,2018-06-06,9:39:00,WRI,0,0,0,0,0,0,0
WP18-046,2,WP18-046-2,2018,2018-06-20,8:44:00,WRI,0,0,0,0,0,0,1
WP18-047,1,WP18-047-1,2018,2018-06-06,5:56:00,RSH,0,0,1,0,2,0,0
WP18-047,2,WP18-047-2,2018,2018-06-18,8:43:00,RSH,0,0,1,1,1,0,0
WP18-048,1,WP18-048-1,2018,2018-06-06,8:56:00,DMF,0,0,0,0,0,0,2
WP18-048,2,WP18-048-2,2018,2018-06-29,6:52:00,DMF,0,0,0,0,0,0,1
WP18-049,1,WP18-049-1,2018,2018-06-06,8:04:00,CMF,1,0,0,0,0,0,0
WP18-049,2,WP18-049-2,2018,2018-06-20,9:17:00,CMF,0,0,0,0,0,0,0
WP18-050,1,WP18-050-1,2018,2018-06-10,5:39:00,DMF,0,0,0,0,0,0,0
WP18-050,2,WP18-050-2,2018,2018-06-20,6:43:00,DMF,0,0,0,1,1,0,0
WP18-051,1,WP18-051-1,2018,2018-06-06,7:13:00,DMF,0,0,0,0,1,0,1
WP18-051,2,WP18-051-2,2018,2018-06-29,7:00:00,DMF,0,0,0,0,0,0,1
WP18-052,1,WP18-052-1,2018,2018-06-06,6:33:00,DMF,0,0,0,0,0,0,0
WP18-052,2,WP18-052-2,2018,2018-06-20,9:46:00,DMF,0,0,0,0,0,0,1
WP18-053,1,WP18-053-1,2018,2018-06-10,6:31:00,DSH,0,0,0,0,1,0,0
WP18-053,2,WP18-053-2,2018,2018-06-20,6:10:00,DSH,0,0,0,0,1,0,0
WP18-054,1,WP18-054-1,2018,2018-06-10,9:09:00,DYF,0,0,0,0,0,0,0
WP18-054,2,WP18-054-2,2018,2018-06-29,7:02:00,DYF,0,0,0,0,0,1,2
WP18-055,1,WP18-055-1,2018,2018-06-10,7:15:00,DSH,0,0,0,0,0,1,2
WP18-055,2,WP18-055-2,2018,2018-06-20,5:37:00,DSH,0,0,0,0,1,1,2
WP18-056,1,WP18-056-1,2018,2018-06-10,8:03:00,DSH,0,0,0,0,1,0,0
WP18-056,2,WP18-056-2,2018,2018-06-20,4:57:00,DSH,0,0,0,0,1,0,0
WP18-057,1,WP18-057-1,2018,2018-06-10,9:21:00,CMF,0,0,0,1,0,0,0
WP18-057,2,WP18-057-2,2018,2018-06-29,7:29:00,CMF,0,0,0,0,0,0,2
WP18-058,1,WP18-058-1,2018,2018-06-03,6:27:00,DYF,0,0,1,1,1,0,0
WP18-058,2,WP18-058-2,2018,2018-06-24,4:26:00,DYF,0,0,1,1,0,0,0
WP18-059,1,WP18-059-1,2018,2018-06-10,8:46:00,DMF,0,0,0,0,0,0,0
WP18-059,2,WP18-059-2,2018,2018-06-29,7:56:00,DMF,0,0,0,0,0,0,0
WP18-060,1,WP18-060-1,2018,2018-06-03,5:22:00,RSH,0,0,1,0,0,0,0
WP18-060,2,WP18-060-2,2018,2018-06-21,9:28:00,RSH,0,0,0,0,0,0,0
WP18-061,1,WP18-061-1,2018,2018-06-03,6:44:00,DMF,0,0,0,0,1,0,0
WP18-061,2,WP18-061-2,2018,2018-06-21,7:06:00,DMF,0,0,0,0,2,1,1
WP18-062,1,WP18-062-1,2018,2018-06-03,4:59:00,DYF,0,0,0,0,0,0,0
WP18-062,2,WP18-062-2,2018,2018-06-21,9:04:00,DYF,0,0,0,0,0,1,0
WP18-063,1,WP18-063-1,2018,2018-06-03,6:09:00,RMF,0,0,0,1,0,0,1
WP18-063,2,WP18-063-2,2018,2018-06-21,6:34:00,RMF,0,0,0,0,0,0,1
WP18-064,1,WP18-064-1,2018,2018-06-06,4:59:00,CYF,0,0,0,0,0,0,0
WP18-064,2,WP18-064-2,2018,2018-06-18,7:25:00,CYF,0,0,0,0,0,0,0
WP18-065,1,WP18-065-1,2018,2018-06-02,5:41:00,DMF,0,0,0,1,1,0,1
WP18-065,2,WP18-065-2,2018,2018-06-18,7:47:00,DMF,0,0,0,0,0,0,0
WP18-066,1,WP18-066-1,2018,2018-06-03,4:26:00,RYF,0,0,1,0,1,0,0
WP18-066,2,WP18-066-2,2018,2018-06-21,8:43:00,RYF,0,0,2,0,0,0,0
WP18-067,1,WP18-067-1,2018,2018-06-06,5:40:00,CYF,2,0,0,0,0,0,0
WP18-067,2,WP18-067-2,2018,2018-06-18,8:15:00,CYF,0,0,0,0,0,0,0
WP18-068,1,WP18-068-1,2018,2018-06-03,8:11:00,DYF,0,0,0,0,0,0,0
WP18-068,2,WP18-068-2,2018,2018-06-29,7:55:00,DYF,0,0,0,0,0,1,1
WP18-069,1,WP18-069-1,2018,2018-06-03,4:59:00,RYF,0,0,0,0,0,0,1
WP18-069,2,WP18-069-2,2018,2018-06-21,5:43:00,RYF,0,0,0,0,1,0,2
WP18-070,1,WP18-070-1,2018,2018-06-03,8:41:00,DYF,0,0,0,0,0,0,0
WP18-070,2,WP18-070-2,2018,2018-06-24,5:02:00,DYF,0,0,0,0,0,0,1
WP18-071,1,WP18-071-1,2018,2018-06-12,8:36:00,DSH,0,0,0,0,1,0,0
WP18-071,2,WP18-071-2,2018,2018-06-29,7:49:00,DSH,0,0,0,2,1,0,0
WP18-072,1,WP18-072-1,2018,2018-06-21,5:10:00,RMF,0,0,0,0,0,0,0
WP18-072,2,WP18-072-2,2018,2018-06-29,5:30:00,RMF,0,0,0,0,0,0,2
WP18-073,1,WP18-073-1,2018,2018-06-12,7:52:00,DMF,0,0,0,0,0,0,0
WP18-073,2,WP18-073-2,2018,2018-06-29,8:20:00,DMF,0,0,0,0,0,0,0
WP18-074,1,WP18-074-1,2018,2018-06-06,5:25:00,DYF,0,0,0,0,0,0,0
WP18-074,2,WP18-074-2,2018,2018-06-18,9:02:00,DYF,0,0,0,0,0,0,0
WP18-075,1,WP18-075-1,2018,2018-06-03,8:07:00,DMF,0,0,0,0,0,0,0
WP18-075,2,WP18-075-2,2018,2018-06-24,6:14:00,DMF,0,0,0,0,0,0,1
WP18-076,1,WP18-076-1,2018,2018-06-03,9:44:00,RSH,0,0,0,0,2,0,0
WP18-076,2,WP18-076-2,2018,2018-06-24,7:57:00,RSH,0,0,0,0,2,0,0
WP18-077,1,WP18-077-1,2018,2018-06-03,7:12:00,WSH,0,0,0,0,0,0,2
WP18-077,2,WP18-077-2,2018,2018-06-24,5:35:00,WSH,0,0,0,0,0,0,3
WP18-078,1,WP18-078-1,2018,2018-06-12,7:21:00,RMF,1,0,0,0,0,0,0
WP18-078,2,WP18-078-2,2018,2018-06-29,8:35:00,RMF,1,0,0,0,0,1,0
WP18-079,1,WP18-079-1,2018,2018-06-12,6:47:00,RSH,0,0,0,1,1,0,0
WP18-079,2,WP18-079-2,2018,2018-06-29,8:36:00,RSH,0,0,0,0,0,0,0
WP18-080,1,WP18-080-1,2018,2018-06-03,8:57:00,FBT,0,0,0,0,0,0,2
WP18-080,2,WP18-080-2,2018,2018-06-24,6:50:00,FBT,0,0,0,0,0,0,1
WP18-081,1,WP18-081-1,2018,2018-06-03,9:43:00,DSH,0,0,0,0,1,0,0
WP18-081,2,WP18-081-2,2018,2018-06-24,8:33:00,DSH,0,0,0,3,0,0,0
WP18-082,1,WP18-082-1,2018,2018-06-11,9:53:00,DMF,0,0,0,0,0,0,1
WP18-082,2,WP18-082-2,2018,2018-06-29,8:58:00,DMF,0,0,0,0,0,0,1
WP18-084,1,WP18-084-1,2018,2018-06-12,5:58:00,DMF,1,0,1,1,0,0,1
WP18-084,2,WP18-084-2,2018,2018-06-29,9:09:00,DMF,0,0,0,0,0,0,1
WP18-085,1,WP18-085-1,2018,2018-06-11,9:24:00,RYF,0,0,0,0,0,0,0
WP18-085,2,WP18-085-2,2018,2018-06-28,9:29:00,RYF,0,0,0,0,0,0,0
WP18-086,1,WP18-086-1,2018,2018-06-12,5:18:00,DYF,0,0,0,0,0,0,0
WP18-086,2,WP18-086-2,2018,2018-06-29,9:21:00,DYF,0,0,0,0,0,0,0
WP18-087,1,WP18-087-1,2018,2018-06-11,8:50:00,RMF,1,0,1,0,1,0,0
WP18-087,2,WP18-087-2,2018,2018-06-28,8:58:00,RMF,0,0,0,0,0,0,0
WP18-088,1,WP18-088-1,2018,2018-06-11,7:58:00,DMF,0,0,0,0,0,0,0
WP18-088,2,WP18-088-2,2018,2018-06-28,8:17:00,DMF,0,0,0,0,0,0,0
WP18-089,1,WP18-089-1,2018,2018-06-11,7:09:00,RYF,0,0,0,0,0,0,0
WP18-089,2,WP18-089-2,2018,2018-06-28,7:33:00,RYF,0,0,0,0,0,0,0
WP18-090,1,WP18-090-1,2018,2018-06-11,6:32:00,RYF,0,0,0,1,0,0,0
WP18-090,2,WP18-090-2,2018,2018-06-28,6:58:00,RYF,0,0,0,0,0,0,0
WP18-091,1,WP18-091-1,2018,2018-06-11,6:08:00,DYF,0,0,0,1,0,0,0
WP18-091,2,WP18-091-2,2018,2018-06-28,6:28:00,DYF,0,0,0,0,0,0,0
WP18-092,1,WP18-092-1,2018,2018-06-11,5:35:00,DSH,0,0,0,0,0,0,0
WP18-092,2,WP18-092-2,2018,2018-06-28,5:54:00,DSH,0,0,0,0,0,0,0
WP18-093,1,WP18-093-1,2018,2018-06-11,5:02:00,DMF,0,0,0,0,0,0,1
WP18-093,2,WP18-093-2,2018,2018-06-28,5:14:00,DMF,0,0,0,0,0,0,1
WP18-094,1,WP18-094-1,2018,2018-06-07,4:37:00,RYF,0,0,0,0,1,0,0
WP18-094,2,WP18-094-2,2018,2018-06-30,7:15:00,RYF,0,0,0,0,0,0,1
WP18-095,1,WP18-095-1,2018,2018-06-07,5:37:00,CMF,0,0,0,0,0,0,1
WP18-095,2,WP18-095-2,2018,2018-06-20,6:03:00,CMF,0,0,0,1,0,0,1
WP18-096,1,WP18-096-1,2018,2018-06-07,6:37:00,DMF,1,0,0,0,0,0,0
WP18-096,2,WP18-096-2,2018,2018-06-20,7:05:00,DMF,2,0,0,0,0,0,0
WP18-097,1,WP18-097-1,2018,2018-06-07,6:34:00,DMF,0,0,0,1,0,0,0
WP18-097,2,WP18-097-2,2018,2018-06-20,6:40:00,DMF,0,0,0,0,0,0,0
WP18-098,1,WP18-098-1,2018,2018-06-07,7:41:00,DMF,1,0,0,0,0,0,0
WP18-098,2,WP18-098-2,2018,2018-06-20,6:29:00,DMF,2,0,0,0,0,0,0
WP18-099,1,WP18-099-1,2018,2018-06-07,7:52:00,DYF,0,0,0,0,0,0,0
WP18-099,2,WP18-099-2,2018,2018-06-20,7:57:00,DYF,0,0,1,0,0,0,1
WP18-100,1,WP18-100-1,2018,2018-06-07,8:47:00,DYF,0,0,0,0,0,0,0
WP18-100,2,WP18-100-2,2018,2018-06-20,9:00:00,DYF,0,0,0,0,0,0,0
WP18-101,1,WP18-101-1,2018,2018-06-07,8:28:00,DYF,0,0,0,0,0,0,0
WP18-101,2,WP18-101-2,2018,2018-06-20,8:02:00,DYF,0,0,0,0,0,0,0
WP18-102,1,WP18-102-1,2018,2018-06-11,9:09:00,DSH,0,0,0,0,0,0,0
WP18-102,2,WP18-102-2,2018,2018-06-27,10:35:00,DSH,0,0,0,0,0,0,0
WP19-007,1,WP19-007-1,2019,2019-05-31,7:52:00,RMF,0,0,0,0,0,0,3
WP19-019,1,WP19-019-1,2019,2019-06-06,9:47:00,RSH,0,0,0,0,0,0,0
WP19-019,2,WP19-019-2,2019,2019-06-26,8:23:00,RSH,0,0,0,1,0,0,0
WP19-022,1,WP19-022-1,2019,2019-06-06,9:29:00,DSH,0,0,0,0,0,0,0
WP19-022,2,WP19-022-2,2019,2019-06-26,8:19:00,DSH,0,0,0,0,0,0,0
WP19-023,1,WP19-023-1,2019,2019-06-06,9:22:00,RMF,0,0,0,0,0,0,0
WP19-023,2,WP19-023-2,2019,2019-06-26,8:14:00,RMF,0,0,0,0,0,2,0
WP19-024,1,WP19-024-1,2019,2019-06-06,4:20:00,FBT,0,0,0,0,0,0,0
WP19-024,2,WP19-024-2,2019,2019-06-23,9:42:00,FBT,1,0,0,0,0,0,0
WP19-025,1,WP19-025-1,2019,2019-06-06,4:50:00,FBS,0,0,0,0,0,0,0
WP19-025,2,WP19-025-2,2019,2019-06-23,9:40:00,FBS,0,0,0,0,0,0,1
WP19-026,1,WP19-026-1,2019,2019-06-06,8:42:00,RYF,0,0,0,0,0,0,0
WP19-026,2,WP19-026-2,2019,2019-06-26,7:32:00,RYF,0,0,0,0,0,0,0
WP19-031,1,WP19-031-1,2019,2019-06-06,7:58:00,RYF,0,0,0,0,0,0,0
WP19-031,2,WP19-031-2,2019,2019-06-26,7:18:00,RYF,0,0,1,0,0,0,0
WP19-033,1,WP19-033-1,2019,2019-06-06,7:25:00,RYF,0,0,0,0,0,0,0
WP19-033,2,WP19-033-2,2019,2019-06-26,6:42:00,RYF,0,0,0,0,0,0,0
WP19-034,1,WP19-034-1,2019,2019-06-05,9:38:00,RMF,0,0,0,0,0,0,0
WP19-034,2,WP19-034-2,2019,2019-06-26,6:16:00,RMF,0,0,0,0,0,0,0
WP19-035,1,WP19-035-1,2019,2019-06-05,9:14:00,RSH,0,0,0,0,1,0,0
WP19-035,2,WP19-035-2,2019,2019-06-23,4:18:00,RSH,0,0,0,0,0,0,0
WP19-036,1,WP19-036-1,2019,2019-06-05,8:51:00,RSH,0,0,0,0,0,0,0
WP19-036,2,WP19-036-2,2019,2019-06-26,5:47:00,RSH,0,0,0,0,1,0,0
WP19-037,1,WP19-037-1,2019,2019-06-05,8:23:00,DSH,0,0,0,0,0,1,0
WP19-037,2,WP19-037-2,2019,2019-06-23,5:24:00,DSH,0,0,0,0,0,0,0
WP19-038,1,WP19-038-1,2019,2019-06-05,7:00:00,DSH,0,0,0,0,0,0,0
WP19-038,2,WP19-038-2,2019,2019-06-26,5:19:00,DSH,0,0,0,0,0,0,0
WP19-039,1,WP19-039-1,2019,2019-06-05,7:32:00,RMF,0,0,0,0,0,0,0
WP19-039,2,WP19-039-2,2019,2019-06-26,4:47:00,RMF,0,0,0,0,0,0,0
WP19-040,1,WP19-040-1,2019,2019-06-05,7:53:00,DYF,0,0,0,0,0,0,0
WP19-040,2,WP19-040-2,2019,2019-06-26,4:52:00,DYF,0,0,0,0,0,0,0
WP19-041,1,WP19-041-1,2019,2019-06-05,6:32:00,CYF,0,0,0,0,0,0,0
WP19-041,2,WP19-041-2,2019,2019-06-21,9:44:00,CYF,0,0,0,0,0,0,0
WP19-042,1,WP19-042-1,2019,2019-06-05,6:08:00,CYF,1,0,0,0,0,0,0
WP19-042,2,WP19-042-2,2019,2019-06-21,9:40:00,CYF,0,0,0,0,0,0,0
WP19-045,1,WP19-045-1,2019,2019-06-04,9:55:00,CYF,0,0,0,0,0,0,0
WP19-045,2,WP19-045-2,2019,2019-06-21,9:10:00,CYF,0,0,0,1,0,1,0
WP19-046,1,WP19-046-1,2019,2019-06-05,5:38:00,CYF,0,0,0,0,0,0,0
WP19-046,2,WP19-046-2,2019,2019-06-26,4:13:00,CYF,0,0,0,0,0,0,0
WP19-050,1,WP19-050-1,2019,2019-06-04,9:21:00,CYF,0,0,0,0,0,0,0
WP19-050,2,WP19-050-2,2019,2019-06-21,8:44:00,CYF,0,0,2,0,1,0,0
WP19-051,1,WP19-051-1,2019,2019-06-05,5:09:00,CMF,0,0,0,0,0,0,1
WP19-051,2,WP19-051-2,2019,2019-06-26,4:14:00,CMF,0,0,0,0,0,0,0
WP19-052,1,WP19-052-1,2019,2019-06-05,4:32:00,CMF,0,0,0,0,0,0,0
WP19-052,2,WP19-052-2,2019,2019-06-21,8:54:00,CMF,0,0,0,0,0,0,0
WP19-053,1,WP19-053-1,2019,2019-06-03,9:39:00,CYF,0,0,0,0,0,0,0
WP19-053,2,WP19-053-2,2019,2019-06-26,4:59:00,CYF,0,0,0,0,0,0,0
WP19-055,1,WP19-055-1,2019,2019-06-03,9:26:00,CYF,0,0,0,0,0,0,0
WP19-055,2,WP19-055-2,2019,2019-06-26,4:35:00,CYF,0,0,0,0,0,0,0
WP19-056,1,WP19-056-1,2019,2019-06-03,8:59:00,CYF,0,0,0,0,0,0,0
WP19-056,2,WP19-056-2,2019,2019-06-26,4:13:00,CYF,0,0,0,0,0,0,0
WP19-061,1,WP19-061-1,2019,2019-06-03,8:21:00,CMF,0,0,0,0,0,0,0
WP19-061,2,WP19-061-2,2019,2019-06-19,4:13:00,CMF,1,0,0,0,0,0,0
WP19-064,1,WP19-064-1,2019,2019-06-03,7:48:00,DMF,0,0,0,0,0,0,0
WP19-064,2,WP19-064-2,2019,2019-06-20,6:31:00,DMF,0,0,0,0,0,2,0
WP19-066,1,WP19-066-1,2019,2019-06-03,7:19:00,DYF,0,0,0,0,0,0,0
WP19-066,2,WP19-066-2,2019,2019-06-19,4:51:00,DYF,0,0,0,0,0,1,0
WP19-067,1,WP19-067-1,2019,2019-06-06,7:06:00,CMF,0,0,0,0,0,0,0
WP19-070,1,WP19-070-1,2019,2019-06-04,4:34:00,DYF,0,0,0,0,0,0,2
WP19-070,2,WP19-070-2,2019,2019-06-19,7:01:00,DYF,0,0,0,1,0,1,0
WP19-072,1,WP19-072-1,2019,2019-06-03,4:29:00,RMF,0,0,0,0,0,0,0
WP19-072,2,WP19-072-2,2019,2019-06-19,8:02:00,RMF,0,0,0,0,0,1,0
WP19-075,1,WP19-075-1,2019,2019-06-03,5:06:00,RMF,0,0,0,1,0,0,0
WP19-075,2,WP19-075-2,2019,2019-06-19,8:52:00,RMF,0,0,0,0,0,0,0
WP19-076,1,WP19-076-1,2019,2019-06-06,5:39:00,DMF,0,0,0,0,0,0,0
WP19-076,2,WP19-076-2,2019,2019-06-25,4:13:00,DMF,0,0,0,0,0,0,0
WP19-079,1,WP19-079-1,2019,2019-06-03,6:00:00,RMF,0,0,0,0,0,0,0
WP19-079,2,WP19-079-2,2019,2019-06-19,8:49:00,RMF,0,0,0,0,0,1,0
WP19-083,1,WP19-083-1,2019,2019-06-03,6:32:00,DYF,0,0,0,0,0,0,0
WP19-083,2,WP19-083-2,2019,2019-06-19,9:23:00,DYF,0,0,0,0,0,0,0
WP19-087,1,WP19-087-1,2019,2019-06-02,9:45:00,CYF,2,0,0,0,0,0,0
