Sort,BEC Variant,Ecosystem,Site Series,Site Series Name,Type,Dam,Reservoir,TL,Hwy 29,Road,Quarry,Erosion Impact
17,BWBSmw1,SH:ac,$07,$Ac – Cow parsnip,Forested Ecosystem,16.718108158024332,379.4876857910203,2.404235664733192,3.1009890716939923,NA,NA,8.172773164253137
18,BWBSmw1,SH:ep,$07,$Ep – Ep-Dogwood,Forested Ecosystem,NA,1.3748018681334109,0.27831145159288223,NA,NA,NA,NA
19,BWBSmw1,BT,08,Sb - Labrador tea – Sphagnum,Wetland Ecosystem,6.511552789234368,13.514837419014313,39.36892429907837,NA,0.464897738602982,0.7468088670420022,0.3564865260463897
20,BWBSmw1,TS,10,Tamarack - Sedge – Fen,Wetland Ecosystem,12.888823856488166,13.097054109370509,22.32771081727094,NA,NA,0.36655378764592056,NA
21,BWBSmw1,SE,00,Sedge Wetland,Wetland Ecosystem,39.911631431924455,47.207414901510774,25.590566076027493,NA,0.2361429234588762,1.1267948525008125,0.2892916644792024
22,BWBSmw1,WS,00,Willow – Sedge – Wetland,Wetland Ecosystem,3.1287142050007644,27.709405008346373,13.175469400937954,NA,NA,NA,NA
23,BWBSmw1,WH,00,Willow – Horsetail – Sedge – Riparian Wetland,Wetland Ecosystem,3.6057459938856065,386.82486979760597,0.15926961042325286,1.3580321223898253,NA,NA,0.6021019243173694
24,BWBSmw1,AS,00,SwAt – Soopolallie,Shrubland Ecosystem,26.704743468569056,75.00061588810017,0.242843205474336,4.608797742942108,NA,NA,33.68843709246882
25,BWBSmw1,WW,00,Fuzzy-spiked Wildrye – Wolf-willow,Grassland Ecosystem,48.1118265258725,86.90584705487542,5.017957048423065,23.072271955621957,NA,NA,75.61288855208885
26,BWBSmw1,CB,-,Cutbank,Non-vegetated/Anthropogenic Ecosystems,39.18330536895833,167.57063996935022,0.16142721893951287,5.3589433504879,NA,NA,102.45392050724656
27,BWBSmw1,CF,-,Cultivated field,Non-vegetated/Anthropogenic Ecosystems,120.76090183637098,597.0303864787584,31.599860738566086,111.51580007369654,0.07905452422253118,173.04006045457666,34.96619476806346
28,BWBSmw1,ES,-,Exposed soil,Non-vegetated/Anthropogenic Ecosystems,1.205759175181904,4.356908781990591,0.30904829371386,NA,NA,NA,3.8167933052979715
29,BWBSmw1,GB,-,Gravel bar,Non-vegetated/Anthropogenic Ecosystems,19.81109957696462,720.5646787301683,NA,2.1543669023636403,NA,NA,1.5181301783177068
30,BWBSmw1,GP,-,Gravel pit,Non-vegetated/Anthropogenic Ecosystems,NA,6.489753286006587,NA,0.19616228963544566,NA,4.230497467255957,3.069087880376934
31,BWBSmw1,LA,-,Lake,Non-vegetated/Anthropogenic Ecosystems,NA,NA,0.1522447230779825,NA,NA,NA,NA
32,BWBSmw1,MI,-,Mine,Non-vegetated/Anthropogenic Ecosystems,25.062619461059104,NA,NA,NA,NA,NA,NA
33,BWBSmw1,OW,-,Shallow open water,Non-vegetated/Anthropogenic Ecosystems,1.5990634774253027,13.627817809685157,0.2165428896018466,NA,NA,NA,NA
34,BWBSmw1,PD,-,Pond,Non-vegetated/Anthropogenic Ecosystems,NA,4.1678491380404115,0.13164500136608154,NA,NA,0.09163844691148014,0.24658909945600843
36,BWBSmw1,RI,-,River,Non-vegetated/Anthropogenic Ecosystems,193.77671686753285,2833.7800567858017,0.052249635807307286,15.840301935189403,NA,NA,3.752859695607671
37,BWBSmw1,RN,-,Railway,Non-vegetated/Anthropogenic Ecosystems,11.364869986507362,NA,NA,NA,NA,NA,NA
38,BWBSmw1,RO,-,Rock,Non-vegetated/Anthropogenic Ecosystems,NA,0.05990000567866501,NA,NA,0.14693993166337446,2.1121983796113493,0.19164334263965624
39,BWBSmw1,RW,-,Rural,Non-vegetated/Anthropogenic Ecosystems,1.4162989545783131,9.772912380023719,NA,1.027256438187185,NA,0.6448653801990049,0.5072641377180985
41,BWBSmw1,RZ,-,Road surface,Non-vegetated/Anthropogenic Ecosystems,0.5863096784620303,12.760259739515613,0.05074878624834327,13.0669761780013,0.6290297093683883,0.3037324638464411,3.014804400292045
42,BWBSmw1,UR,-,Urban,Non-vegetated/Anthropogenic Ecosystems,0.3886925043679348,6.045769534353329,0.8591338474778869,NA,NA,4.838222522545117,NA
101,BWBSwk1,SW,04,Sw - Wildrye - Peavine,Forested Ecosystems,NA,NA,NA,NA,0.33176025759472966,50.14191162191955,NA
201,ESSFmv2,FR,01,Bl - Rhododendron - Feathermoss,Forested Ecosystems,NA,NA,NA,NA,NA,2.8317500844266523,NA
301,SBSwk2,SO,01,Sxw - Oak fern,Forested Ecosystems,NA,NA,NA,NA,NA,19.89442988758889,NA
302,SBSwk2,LH,02,Pl - Huckleberry - Cladina,Forested Ecosystems,NA,NA,NA,NA,NA,25.27315893065895,NA
303,SBSwk2,SC,03,Sxw - Huckleberry - Highbush-cranberry,Forested Ecosystems,NA,NA,NA,NA,NA,6.924729865571034,NA
304,SBSwk2,BF,04,SbPl - Feathermoss,Forested Ecosystems,NA,NA,NA,NA,NA,30.200729455661698,NA
305,SBSwk2,SD,05,Sxw - Devil's club,Forested Ecosystems,NA,NA,NA,NA,NA,6.733273339358073,NA
309,SBSwk2,Wf13,00,Narrow-leaved cotton-grass - Shore sedge,Wetland Ecosystems,NA,NA,NA,NA,NA,0.34425977319735723,NA
NA,BWBSwk1,RO,NA,NA,NA,NA,NA,NA,NA,NA,2.34685516193127,NA
NA,BWBSwk1,SC,NA,NA,NA,NA,NA,NA,NA,NA,4.600213889706982,NA
NA,BWBSwk1,SM,NA,NA,NA,NA,NA,NA,NA,NA,5.050092467380059,NA
NA,BWBSwk1,TA,NA,NA,NA,NA,NA,NA,NA,NA,0.5009278608189317,NA
NA,ESSFmv2,FL,NA,NA,NA,NA,NA,NA,NA,NA,3.30109939154616,NA
NA,SBSwk2,GP,NA,NA,NA,NA,NA,NA,NA,NA,11.247686602165606,NA
NA,SBSwk2,RN,NA,NA,NA,NA,NA,NA,NA,NA,0.6993185811992467,NA
NA,SBSwk2,RO,NA,NA,NA,NA,NA,NA,NA,NA,2.46473653608408,NA
NA,SBSwk2,RZ,NA,NA,NA,NA,NA,NA,NA,NA,0.17482964529981168,NA
